Num Rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
6140;0.0000000000000000e+00;1.0966180166342089e-07;0.0000000000000000e+00;4.0555994642515169e-08;3.1536996818548018e-16;1.4255999784796803e-07
6141;0.0000000000000000e+00;1.1065426457122741e-07;0.0000000000000000e+00;4.0585177309034488e-08;3.1292462993363936e-16;1.4318218511723029e-07
6142;0.0000000000000000e+00;1.1126945140231782e-07;0.0000000000000000e+00;4.0643639370533865e-08;3.1596050235879313e-16;1.4226140140113414e-07
6143;0.0000000000000000e+00;1.1077838743997320e-07;0.0000000000000000e+00;4.0924156250404148e-08;3.1135458478801181e-16;1.4281433977477157e-07
6144;0.0000000000000000e+00;1.1102877389428255e-07;0.0000000000000000e+00;4.0863050483743464e-08;3.1673142664952729e-16;1.4305816531828888e-07
6145;0.0000000000000000e+00;1.1030191102171551e-07;0.0000000000000000e+00;4.0840162634607777e-08;3.1854846392137959e-16;1.4459639520334176e-07
6146;0.0000000000000000e+00;1.0999783251259832e-07;0.0000000000000000e+00;4.0527608651698797e-08;3.1495632588395100e-16;1.4345074446211902e-07
6147;0.0000000000000000e+00;1.1060413765181463e-07;0.0000000000000000e+00;4.0788644125720119e-08;3.1721096643510232e-16;1.4516924043114492e-07
6148;0.0000000000000000e+00;1.1002710245190889e-07;0.0000000000000000e+00;4.0240327914683202e-08;3.1766522888903054e-16;1.4497095268885359e-07
6149;0.0000000000000000e+00;1.0994548532516632e-07;0.0000000000000000e+00;4.0740637706991191e-08;3.1588267869176000e-16;1.4369316937404273e-07
6150;0.0000000000000000e+00;1.0984432954585783e-07;0.0000000000000000e+00;4.0625573450852307e-08;3.1989449965361387e-16;1.4411589049590128e-07
