Num Rows;GEMV double;GEMV float;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>
512;0.0134144;0.0129024;0.0131072;0.0129024
1024;0.0218112;0.01792;0.022016;0.0187392
1536;0.0335872;0.0253952;0.0335872;0.026112
2048;0.0490496;0.029184;0.0489472;0.0295936
2560;0.0704512;0.0403456;0.0703488;0.0407552
3072;0.0960512;0.0541696;0.0959488;0.0551936
3584;0.126669;0.0707584;0.126771;0.0717824
4096;0.161587;0.085504;0.162099;0.08704
4608;0.201728;0.105677;0.201728;0.106598
5120;0.247296;0.129229;0.246682;0.129536
5632;0.295731;0.15319;0.295731;0.154522
6144;0.349491;0.179405;0.349286;0.179712
6656;0.408371;0.208486;0.408371;0.208794
7168;0.470733;0.242278;0.470938;0.242688
7680;0.538624;0.274125;0.538624;0.274227
8192;0.610816;0.310682;0.61143;0.310682
8704;0.689254;0.350208;0.689357;0.350413
9216;0.770253;0.390861;0.770048;0.390758
9728;0.856474;0.434381;0.856166;0.434278
10240;0.9472;0.480154;0.946995;0.479642
10752;1.04315;0.528486;1.04335;0.528691
11264;1.14555;0.57856;1.14555;0.57897
11776;1.25;0.631296;1.24928;0.631194
12288;1.35875;0.68649;1.35844;0.685875
12800;1.47313;0.744858;1.47313;0.743322
13312;1.59488;0.804557;1.59488;0.803226
13824;1.71663;0.866406;1.71643;0.865382
14336;1.84576;0.931328;1.84576;0.929894
14848;1.97898;0.998707;1.97847;0.996659
15360;2.11773;1.06762;2.11722;1.0668
15872;2.26243;1.14483;2.26232;1.14719
16384;2.41244;1.21375;2.40814;1.20945
16896;2.56215;1.29137;2.56184;1.29147
17408;2.71596;1.3653;2.71647;1.36428
17920;2.8798;1.44701;2.88;1.44927
18432;3.04435;1.53016;3.04435;1.52771
18944;3.21905;1.65345;3.21843;1.66492
19456;3.3919;1.70383;3.39231;1.7067
19968;3.57315;1.79098;3.57376;1.79118
20480;3.75767;1.88324;3.7588;1.88303
20992;3.94762;1.97806;3.94813;1.9796
21504;4.15744;2.07616;4.15724;2.078
22016;4.37924;2.17907;4.38088;2.18296
22528;4.55721;2.28854;4.55588;2.29304
23040;4.76047;2.38254;4.76058;2.38449
23552;4.96947;2.48842;4.96906;2.48986
24064;5.18513;2.59881;5.18574;2.60065
24576;5.40733;2.71186;5.40805;2.7135

